,Order_ID,Customer_ID,Employee_ID,Order_Date,Require_date,Shipper_Date,Shipper_ID,Freight,Company_Name,Contact_Name,Contact_Title,Customer_City,Customer_Country,EmployeeName,Employee_Title,Employee_City,Employee_Country,Reports_To,Product_ID,Unit_Price,Quantity,Discount,Product_Name,Quantity_Per_Unit,Product_Unit_Price,Discontinued,Category_ID,Shipper_Company,Category_Name,Description
0,10248,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,2.0,11,14.0,12,0.0,Queso Cabrales,1 kg pkg.,21.0,0,4,Federal Shipping,Dairy Products,Cheeses
1,10248,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,2.0,42,9.8,10,0.0,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,14.0,1,5,Federal Shipping,Grains & Cereals,"Breads, crackers, pasta, and cereal"
2,10248,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,2.0,72,34.8,5,0.0,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,4,Federal Shipping,Dairy Products,Cheeses
3,10249,TOMSP,6,2013-07-05,2013-08-16,2013-07-10,1,11.61,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Michael Suyama,Sales Representative,London,UK,5.0,14,18.6,9,0.0,Tofu,40 - 100 g pkgs.,23.25,0,7,Speedy Express,Produce,Dried fruit and bean curd
4,10249,TOMSP,6,2013-07-05,2013-08-16,2013-07-10,1,11.61,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Michael Suyama,Sales Representative,London,UK,5.0,51,42.4,40,0.0,Manjimup Dried Apples,50 - 300 g pkgs.,53.0,0,7,Speedy Express,Produce,Dried fruit and bean curd
5,10250,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8.0,41,7.7,10,0.0,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,8,United Package,Seafood,Seaweed and fish
6,10250,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8.0,51,42.4,35,0.15,Manjimup Dried Apples,50 - 300 g pkgs.,53.0,0,7,United Package,Produce,Dried fruit and bean curd
7,10250,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8.0,65,16.8,15,0.15,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,0,2,United Package,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
8,10251,VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,8.0,22,16.8,6,0.05,Gustaf's Knackebröd,24 - 500 g pkgs.,21.0,0,5,Speedy Express,Grains & Cereals,"Breads, crackers, pasta, and cereal"
9,10251,VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,8.0,57,15.6,15,0.05,Ravioli Angelo,24 - 250 g pkgs.,19.5,0,5,Speedy Express,Grains & Cereals,"Breads, crackers, pasta, and cereal"
