,Order_ID,Customer_ID,Employee_ID,Shipper_ID,Product_ID,Category_ID,Order_Date,Require_date,Shipper_Date,Company_Name,Customer_Name,Customer_Title,Customer_City,Customer_Country,EmployeeName,Employee_Title,Employee_City,Employee_Country,Reports_To,Product_Name,Quantity_Per_Unit,Product_Unit_Price,Discontinued,Category_Name,Description,Shipper_Company,Cost,Unit_Price,Quantity,Discount,Revenue,Profit,Year,Month,Day,Quarter,Day_Name,Weekend_Flag,Processing_Time
0,10248,VINET,5,3,11,4,2013-07-04,2013-08-01,2013-07-16,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,2.0,Queso Cabrales,1 kg pkg.,21.0,0,Dairy Products,Cheeses,Federal Shipping,32.38,14.0,12.0,0.0,168.0,135.62,2013,7,4,3,Thursday,0,12 days
1,10248,VINET,5,3,42,5,2013-07-04,2013-08-01,2013-07-16,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,2.0,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,14.0,1,Grains & Cereals,"Breads, crackers, pasta, and cereal",Federal Shipping,32.38,9.8,10.0,0.0,98.0,65.62,2013,7,4,3,Thursday,0,12 days
2,10248,VINET,5,3,72,4,2013-07-04,2013-08-01,2013-07-16,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,2.0,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,Dairy Products,Cheeses,Federal Shipping,32.38,34.8,20.0,0.0,696.0,663.62,2013,7,4,3,Thursday,0,12 days
3,10249,TOMSP,6,1,14,7,2013-07-05,2013-08-16,2013-07-10,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Michael Suyama,Sales Representative,London,UK,5.0,Tofu,40 - 100 g pkgs.,23.25,0,Produce,Dried fruit and bean curd,Speedy Express,11.61,18.6,9.0,0.0,167.4,155.79000000000002,2013,7,5,3,Friday,1,5 days
4,10249,TOMSP,6,1,51,7,2013-07-05,2013-08-16,2013-07-10,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany,Michael Suyama,Sales Representative,London,UK,5.0,Manjimup Dried Apples,50 - 300 g pkgs.,53.0,0,Produce,Dried fruit and bean curd,Speedy Express,11.61,42.4,40.0,0.0,1696.0,1684.39,2013,7,5,3,Friday,1,5 days
5,10250,HANAR,4,2,41,8,2013-07-08,2013-08-05,2013-07-12,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8.0,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,Seafood,Seaweed and fish,United Package,65.83,7.7,20.0,0.0,154.0,88.17,2013,7,8,3,Monday,0,4 days
6,10250,HANAR,4,2,51,7,2013-07-08,2013-08-05,2013-07-12,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8.0,Manjimup Dried Apples,50 - 300 g pkgs.,27.97,0,Produce,Dried fruit and bean curd,United Package,65.83,42.4,35.0,0.15,1261.3999999999999,1195.57,2013,7,8,3,Monday,0,4 days
7,10250,HANAR,4,2,65,2,2013-07-08,2013-08-05,2013-07-12,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8.0,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,0,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",United Package,65.83,16.8,15.0,0.15,214.2,148.37,2013,7,8,3,Monday,0,4 days
8,10251,VICTE,3,1,22,5,2013-07-08,2013-08-05,2013-07-15,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,8.0,Gustaf's Knackebröd,24 - 500 g pkgs.,21.0,0,Grains & Cereals,"Breads, crackers, pasta, and cereal",Speedy Express,41.34,16.8,6.0,0.05,95.76,54.42,2013,7,8,3,Monday,0,7 days
9,10251,VICTE,3,1,57,5,2013-07-08,2013-08-05,2013-07-15,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,8.0,Ravioli Angelo,24 - 250 g pkgs.,19.5,0,Grains & Cereals,"Breads, crackers, pasta, and cereal",Speedy Express,41.34,15.6,15.0,0.05,222.29999999999998,180.95999999999998,2013,7,8,3,Monday,0,7 days
